lx,ly,lz,alpha,beta,gamma,freeE,MaxComp,phase,ksi,tau,cal_type,bridge
1.0,1.751041,1.776041,0.0,0.0,0.0,11.73975213,7.486591856e-10,C4,0.46,0.13,cpu,0
1.0,1.776041,1.776041,0.0,0.0,0.0,11.73487969,8.447242215e-10,C4,0.46,0.13,cpu,0
1.0,1.801041,1.776041,0.0,0.0,0.0,11.7302398,1.050019994e-09,C4,0.46,0.13,cpu,0
1.0,1.826041,1.776041,0.0,0.0,0.0,11.72583095,1.319190772e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,1.776041,0.0,0.0,0.0,11.72165251,3.930853837e-09,C4,0.46,0.13,cpu,0
1.0,1.876041,1.776041,0.0,0.0,0.0,11.71770461,9.679454109e-10,C4,0.46,0.13,cpu,0
1.0,1.901041,1.776041,0.0,0.0,0.0,11.71398801,6.045068941e-10,C4,0.46,0.13,cpu,0
1.0,1.926041,1.776041,0.0,0.0,0.0,11.710504,8.914694687e-10,C4,0.46,0.13,cpu,0
1.0,1.951041,1.776041,0.0,0.0,0.0,11.70725427,7.477644645e-10,C4,0.46,0.13,cpu,0
1.0,1.976041,1.776041,0.0,0.0,0.0,11.70424081,1.680425168e-09,C4,0.46,0.13,cpu,0
1.0,2.001041,1.776041,0.0,0.0,0.0,11.70146576,8.149326916e-10,C4,0.46,0.13,cpu,0
1.0,2.026041,1.776041,0.0,0.0,0.0,11.69893137,1.163699891e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.776041,0.0,0.0,0.0,11.69663981,9.875096113e-10,C4,0.46,0.13,cpu,0
1.0,2.076041,1.776041,0.0,0.0,0.0,11.69459318,1.423132224e-09,C4,0.46,0.13,cpu,0
1.0,2.101041,1.776041,0.0,0.0,0.0,11.69279334,1.457684552e-09,C4,0.46,0.13,cpu,0
1.0,2.126041,1.776041,0.0,0.0,0.0,11.69124188,5.622792548e-10,C4,0.46,0.13,cpu,0
1.0,2.151041,1.776041,0.0,0.0,0.0,11.68994007,1.697874086e-09,C4,0.46,0.13,cpu,0
1.0,2.176041,1.776041,0.0,0.0,0.0,11.68888875,1.046331601e-09,C4,0.46,0.13,cpu,0
1.0,2.201041,1.776041,0.0,0.0,0.0,11.68808832,1.028944318e-09,C4,0.46,0.13,cpu,0
1.0,2.226041,1.776041,0.0,0.0,0.0,11.68753869,1.433817776e-09,C4,0.46,0.13,cpu,0
1.0,2.251041,1.776041,0.0,0.0,0.0,11.68723926,1.697927778e-09,C4,0.46,0.13,cpu,0
1.0,2.276041,1.776041,0.0,0.0,0.0,11.68718888,1.183517757e-09,C4,0.46,0.13,cpu,0
1.0,2.301041,1.776041,0.0,0.0,0.0,11.68738581,1.2622641e-09,C4,0.46,0.13,cpu,0
1.0,2.326041,1.776041,0.0,0.0,0.0,11.68782775,1.061530769e-09,C4,0.46,0.13,cpu,0
1.0,2.351041,1.776041,0.0,0.0,0.0,11.68851182,8.599164086e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,1.801041,0.0,0.0,0.0,11.73484013,1.095887357e-09,C4,0.46,0.13,cpu,0
1.0,1.776041,1.801041,0.0,0.0,0.0,11.7302398,1.137772328e-09,C4,0.46,0.13,cpu,0
1.0,1.801041,1.801041,0.0,0.0,0.0,11.72586958,1.151820739e-09,C4,0.46,0.13,cpu,0
1.0,1.826041,1.801041,0.0,0.0,0.0,11.7217274,8.137653183e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.801041,0.0,0.0,0.0,11.71781211,5.852913315e-10,C4,0.46,0.13,cpu,0
1.0,1.876041,1.801041,0.0,0.0,0.0,11.71412338,1.116285873e-09,C4,0.46,0.13,cpu,0
1.0,1.901041,1.801041,0.0,0.0,0.0,11.71066156,1.128328658e-09,C4,0.46,0.13,cpu,0
1.0,1.926041,1.801041,0.0,0.0,0.0,11.70742756,1.425580295e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,1.801041,0.0,0.0,0.0,11.70442274,1.220912881e-09,C4,0.46,0.13,cpu,0
1.0,1.976041,1.801041,0.0,0.0,0.0,11.70164878,9.020061791e-10,C4,0.46,0.13,cpu,0
1.0,2.001041,1.801041,0.0,0.0,0.0,11.69910759,1.183768428e-09,C4,0.46,0.13,cpu,0
1.0,2.026041,1.801041,0.0,0.0,0.0,11.69680116,2.230044822e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.801041,0.0,0.0,0.0,11.69473149,1.381263287e-09,C4,0.46,0.13,cpu,0
1.0,2.076041,1.801041,0.0,0.0,0.0,11.6929005,1.423965356e-09,C4,0.46,0.13,cpu,0
1.0,2.101041,1.801041,0.0,0.0,0.0,11.69130993,1.596959659e-09,C4,0.46,0.13,cpu,0
1.0,2.126041,1.801041,0.0,0.0,0.0,11.68996125,1.374633135e-09,C4,0.46,0.13,cpu,0
1.0,2.151041,1.801041,0.0,0.0,0.0,11.68885561,9.777831522e-10,C4,0.46,0.13,cpu,0
1.0,2.176041,1.801041,0.0,0.0,0.0,11.68799379,1.0623113e-09,C4,0.46,0.13,cpu,0
1.0,2.201041,1.801041,0.0,0.0,0.0,11.68737613,1.091525488e-09,C4,0.46,0.13,cpu,0
1.0,2.226041,1.801041,0.0,0.0,0.0,11.6870025,1.286396163e-09,C4,0.46,0.13,cpu,0
1.0,2.251041,1.801041,0.0,0.0,0.0,11.68687223,1.081448583e-09,C4,0.46,0.13,cpu,0
1.0,2.276041,1.801041,0.0,0.0,0.0,11.68698416,1.225431537e-09,C4,0.46,0.13,cpu,0
1.0,2.301041,1.801041,0.0,0.0,0.0,11.68733652,1.266746002e-09,C4,0.46,0.13,cpu,0
1.0,2.326041,1.801041,0.0,0.0,0.0,11.687927,1.102594276e-09,C4,0.46,0.13,cpu,0
1.0,2.351041,1.801041,0.0,0.0,0.0,11.6887527,9.535617783e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,1.826041,0.0,0.0,0.0,11.73016209,9.956424362e-10,C4,0.46,0.13,cpu,0
1.0,1.776041,1.826041,0.0,0.0,0.0,11.72583095,1.345978518e-09,C4,0.46,0.13,cpu,0
1.0,1.801041,1.826041,0.0,0.0,0.0,11.7217274,8.391410838e-10,C4,0.46,0.13,cpu,0
1.0,1.826041,1.826041,0.0,0.0,0.0,11.71784881,8.125345949e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.826041,0.0,0.0,0.0,11.71419355,2.865019533e-09,C4,0.46,0.13,cpu,0
1.0,1.876041,1.826041,0.0,0.0,0.0,11.71076082,7.853048151e-10,C4,0.46,0.13,cpu,0
1.0,1.901041,1.826041,0.0,0.0,0.0,11.70755056,1.033062095e-09,C4,0.46,0.13,cpu,0
1.0,1.926041,1.826041,0.0,0.0,0.0,11.70456331,7.38362489e-10,C4,0.46,0.13,cpu,0
1.0,1.951041,1.826041,0.0,0.0,0.0,11.7018001,7.614617662e-10,C4,0.46,0.13,cpu,0
1.0,1.976041,1.826041,0.0,0.0,0.0,11.69926232,7.434059925e-10,C4,0.46,0.13,cpu,0
1.0,2.001041,1.826041,0.0,0.0,0.0,11.69695163,1.101102038e-09,C4,0.46,0.13,cpu,0
1.0,2.026041,1.826041,0.0,0.0,0.0,11.69486979,1.269353327e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.826041,0.0,0.0,0.0,11.69301863,1.86941049e-09,C4,0.46,0.13,cpu,0
1.0,2.076041,1.826041,0.0,0.0,0.0,11.69139988,1.074743579e-09,C4,0.46,0.13,cpu,0
1.0,2.101041,1.826041,0.0,0.0,0.0,11.69001515,1.456546785e-09,C4,0.46,0.13,cpu,0
1.0,2.126041,1.826041,0.0,0.0,0.0,11.68886579,5.667693547e-10,C4,0.46,0.13,cpu,0
1.0,2.151041,1.826041,0.0,0.0,0.0,11.68795287,1.4543664e-09,C4,0.46,0.13,cpu,0
1.0,2.176041,1.826041,0.0,0.0,0.0,11.68727709,8.762212034e-10,C4,0.46,0.13,cpu,0
1.0,2.201041,1.826041,0.0,0.0,0.0,11.68683871,1.141786723e-09,C4,0.46,0.13,cpu,0
1.0,2.226041,1.826041,0.0,0.0,0.0,11.68663755,1.888863258e-09,C4,0.46,0.13,cpu,0
1.0,2.251041,1.826041,0.0,0.0,0.0,11.68667293,1.068667327e-09,C4,0.46,0.13,cpu,0
1.0,2.276041,1.826041,0.0,0.0,0.0,11.68694362,1.087579935e-09,C4,0.46,0.13,cpu,0
1.0,2.301041,1.826041,0.0,0.0,0.0,11.68744786,8.365162965e-10,C4,0.46,0.13,cpu,0
1.0,2.326041,1.826041,0.0,0.0,0.0,11.6881833,7.150223091e-10,C4,0.46,0.13,cpu,0
1.0,2.351041,1.826041,0.0,0.0,0.0,11.68914704,9.331215903e-10,C4,0.46,0.13,cpu,0
1.0,1.451041,1.851041,0.0,0.0,0.0,11.79486115,1.379011061e-09,C4,0.46,0.13,cpu,0
1.0,1.551041,1.851041,0.0,0.0,0.0,11.76711613,1.410552489e-09,C4,0.46,0.13,cpu,0
1.0,1.651041,1.851041,0.0,0.0,0.0,11.74433278,9.964600087e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,1.851041,0.0,0.0,0.0,11.7257179,1.47319879e-09,C4,0.46,0.13,cpu,0
1.0,1.776041,1.851041,0.0,0.0,0.0,11.72165251,7.457877093e-10,C4,0.46,0.13,cpu,0
1.0,1.801041,1.851041,0.0,0.0,0.0,11.71781211,9.14682432e-10,C4,0.46,0.13,cpu,0
1.0,1.826041,1.851041,0.0,0.0,0.0,11.71419355,9.529090212e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.851041,0.0,0.0,0.0,11.71079469,1.031868184e-09,C4,0.46,0.13,cpu,0
1.0,1.876041,1.851041,0.0,0.0,0.0,11.7076143,1.202627035e-09,C4,0.46,0.13,cpu,0
1.0,1.901041,1.851041,0.0,0.0,0.0,11.7046519,1.676297509e-09,C4,0.46,0.13,cpu,0
1.0,1.926041,1.851041,0.0,0.0,0.0,11.70190768,1.518488495e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,1.851041,0.0,0.0,0.0,11.69938234,9.299648912e-10,C4,0.46,0.13,cpu,0
1.0,1.976041,1.851041,0.0,0.0,0.0,11.69707699,1.100886277e-09,C4,0.46,0.13,cpu,0
1.0,2.001041,1.851041,0.0,0.0,0.0,11.69499302,1.274971852e-09,C4,0.46,0.13,cpu,0
1.0,2.026041,1.851041,0.0,0.0,0.0,11.69313199,8.349534199e-10,C4,0.46,0.13,cpu,0
1.0,2.051041,1.851041,0.0,0.0,0.0,11.69149552,1.232973105e-09,C4,0.46,0.13,cpu,0
1.0,2.076041,1.851041,0.0,0.0,0.0,11.69008521,1.285112563e-09,C4,0.46,0.13,cpu,0
1.0,2.101041,1.851041,0.0,0.0,0.0,11.6889025,9.974297932e-10,C4,0.46,0.13,cpu,0
1.0,2.126041,1.851041,0.0,0.0,0.0,11.68794866,1.425718817e-09,C4,0.46,0.13,cpu,0
1.0,2.151041,1.851041,0.0,0.0,0.0,11.68722463,9.168644718e-10,C4,0.46,0.13,cpu,0
1.0,2.176041,1.851041,0.0,0.0,0.0,11.68673105,9.511641672e-10,C4,0.46,0.13,cpu,0
1.0,2.201041,1.851041,0.0,0.0,0.0,11.68646812,1.517530473e-09,C4,0.46,0.13,cpu,0
1.0,2.226041,1.851041,0.0,0.0,0.0,11.6864356,9.69401134e-10,C4,0.46,0.13,cpu,0
1.0,2.251041,1.851041,0.0,0.0,0.0,11.68663277,8.590096912e-10,C4,0.46,0.13,cpu,0
1.0,2.276041,1.851041,0.0,0.0,0.0,11.68705839,1.044349768e-09,C4,0.46,0.13,cpu,0
1.0,2.301041,1.851041,0.0,0.0,0.0,11.68771065,7.86244882e-10,C4,0.46,0.13,cpu,0
1.0,2.326041,1.851041,0.0,0.0,0.0,11.6885872,9.19285323e-10,C4,0.46,0.13,cpu,0
1.0,2.351041,1.851041,0.0,0.0,0.0,11.68968512,1.538439404e-09,C4,0.46,0.13,cpu,0
1.0,2.451041,1.851041,0.0,0.0,0.0,11.6962115,1.874885388e-09,C4,0.46,0.13,cpu,0
1.0,2.551041,1.851041,0.0,0.0,0.0,11.70589565,1.169209017e-09,C4,0.46,0.13,cpu,0
1.0,2.651041,1.851041,0.0,0.0,0.0,11.71828342,8.669020427e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,1.876041,0.0,0.0,0.0,11.72150816,1.073104651e-09,C4,0.46,0.13,cpu,0
1.0,1.776041,1.876041,0.0,0.0,0.0,11.71770461,1.397388234e-09,C4,0.46,0.13,cpu,0
1.0,1.801041,1.876041,0.0,0.0,0.0,11.71412338,1.232735172e-09,C4,0.46,0.13,cpu,0
1.0,1.826041,1.876041,0.0,0.0,0.0,11.71076082,4.768954223e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,1.876041,0.0,0.0,0.0,11.7076143,7.494179024e-10,C4,0.46,0.13,cpu,0
1.0,1.876041,1.876041,0.0,0.0,0.0,11.70468214,1.320849392e-09,C4,0.46,0.13,cpu,0
1.0,1.901041,1.876041,0.0,0.0,0.0,11.70196348,5.843986379e-10,C4,0.46,0.13,cpu,0
1.0,1.926041,1.876041,0.0,0.0,0.0,11.69945815,8.01206938e-10,C4,0.46,0.13,cpu,0
1.0,1.951041,1.876041,0.0,0.0,0.0,11.69716652,1.879952755e-09,C4,0.46,0.13,cpu,0
1.0,1.976041,1.876041,0.0,0.0,0.0,11.69508943,9.290700992e-10,C4,0.46,0.13,cpu,0
1.0,2.001041,1.876041,0.0,0.0,0.0,11.69322802,7.864198044e-10,C4,0.46,0.13,cpu,0
1.0,2.026041,1.876041,0.0,0.0,0.0,11.69158362,1.304061156e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.876041,0.0,0.0,0.0,11.69015768,1.827260162e-09,C4,0.46,0.13,cpu,0
