1 192 192
7.838168848e-01 2.161831186e-01 4.037652731e+01 9.713990363e+01 
7.489593064e-01 2.510406974e-01 4.193660760e+01 9.172846827e+01 
7.051683444e-01 2.948316597e-01 4.385193656e+01 8.488560487e+01 
6.522449435e-01 3.477550615e-01 4.642723300e+01 7.687622114e+01 
5.910482404e-01 4.089517653e-01 5.008237998e+01 6.829202756e+01 
5.238086968e-01 4.761913095e-01 5.519533460e+01 5.995707352e+01 
4.540019927e-01 5.459980140e-01 6.187983199e+01 5.268023018e+01 
3.856707022e-01 6.143293051e-01 6.983953460e+01 4.697367471e+01 
3.224526847e-01 6.775473229e-01 7.842603302e+01 4.291656966e+01 
2.668099236e-01 7.331900843e-01 8.687550500e+01 4.023748943e+01 
2.197870705e-01 7.802129369e-01 9.456302137e+01 3.852043521e+01 
1.812520225e-01 8.187479840e-01 1.011347674e+02 3.738517175e+01 
1.503470362e-01 8.496529693e-01 1.064992342e+02 3.656864126e+01 
1.259080922e-01 8.740919126e-01 1.107422611e+02 3.592387947e+01 
1.067470120e-01 8.932529920e-01 1.140344991e+02 3.538390146e+01 
9.179708279e-02 9.082029204e-01 1.165652427e+02 3.492465918e+01 
8.016464910e-02 9.198353533e-01 1.185067920e+02 3.453972182e+01 
7.112955952e-02 9.288704423e-01 1.200008168e+02 3.422672866e+01 
6.412381279e-02 9.358761886e-01 1.211570084e+02 3.398177092e+01 
5.870453272e-02 9.412954683e-01 1.220571735e+02 3.379808001e+01 
5.452858744e-02 9.454714132e-01 1.227609134e+02 3.366663086e+01 
5.133136403e-02 9.486686362e-01 1.233110615e+02 3.357733434e+01 
4.890999122e-02 9.510900087e-01 1.237381833e+02 3.352018150e+01 
4.711047385e-02 9.528895258e-01 1.240639998e+02 3.348609457e+01 
4.581802012e-02 9.541819793e-01 1.243038410e+02 3.346744499e+01 
4.494991434e-02 9.550500848e-01 1.244683123e+02 3.345829517e+01 
4.445043182e-02 9.555495671e-01 1.245643690e+02 3.345445531e+01 
4.428743718e-02 9.557125616e-01 1.245959606e+02 3.345344805e+01 
4.445043091e-02 9.555495677e-01 1.245643691e+02 3.345445530e+01 
4.494991246e-02 9.550500861e-01 1.244683127e+02 3.345829515e+01 
4.581801715e-02 9.541819813e-01 1.243038415e+02 3.346744496e+01 
4.711046959e-02 9.528895288e-01 1.240640006e+02 3.348609449e+01 
4.890998541e-02 9.510900130e-01 1.237381843e+02 3.352018137e+01 
5.133135630e-02 9.486686421e-01 1.233110629e+02 3.357733414e+01 
5.452857729e-02 9.454714211e-01 1.227609151e+02 3.366663055e+01 
5.870451951e-02 9.412954790e-01 1.220571757e+02 3.379807958e+01 
6.412379570e-02 9.358762030e-01 1.211570112e+02 3.398177033e+01 
7.112953747e-02 9.288704613e-01 1.200008204e+02 3.422672788e+01 
8.016462070e-02 9.198353784e-01 1.185067967e+02 3.453972085e+01 
9.179704626e-02 9.082029533e-01 1.165652487e+02 3.492465802e+01 
1.067469651e-01 8.932530350e-01 1.140345071e+02 3.538390009e+01 
1.259080323e-01 8.740919683e-01 1.107422714e+02 3.592387786e+01 
1.503469601e-01 8.496530410e-01 1.064992473e+02 3.656863930e+01 
1.812519269e-01 8.187480749e-01 1.011347838e+02 3.738516916e+01 
2.197869525e-01 7.802130500e-01 9.456304101e+01 3.852043145e+01 
2.668097816e-01 7.331902211e-01 8.687552733e+01 4.023748362e+01 
3.224525198e-01 6.775474825e-01 7.842605666e+01 4.291656065e+01 
3.856705191e-01 6.143294825e-01 6.983955755e+01 4.697366149e+01 
4.540018003e-01 5.459982007e-01 6.187985219e+01 5.268021241e+01 
5.238085058e-01 4.761914944e-01 5.519535070e+01 5.995705206e+01 
