1 192 192
8.420068484e-01 1.579931467e-01 1.177975412e+01 8.018112418e+01 
8.457517514e-01 1.542482442e-01 1.149325544e+01 8.064360604e+01 
8.488822349e-01 1.511177619e-01 1.124515635e+01 8.102160351e+01 
8.514174076e-01 1.485825907e-01 1.103815408e+01 8.132163564e+01 
8.533729403e-01 1.466270598e-01 1.087458494e+01 8.154917286e+01 
8.547610331e-01 1.452389686e-01 1.075634522e+01 8.170855153e+01 
8.555904024e-01 1.444096003e-01 1.068483125e+01 8.180291134e+01 
8.555904024e-01 1.444096003e-01 1.068483125e+01 8.180291133e+01 
8.553142342e-01 1.446857681e-01 1.070871688e+01 8.177156336e+01 
8.544839867e-01 1.455160146e-01 1.078008705e+01 8.167688413e+01 
8.530944301e-01 1.469055696e-01 1.089808985e+01 8.151697578e+01 
8.511368482e-01 1.488631499e-01 1.106133311e+01 8.128870282e+01 
8.485990412e-01 1.514009553e-01 1.126792644e+01 8.098773491e+01 
8.454653404e-01 1.545346550e-01 1.151554130e+01 8.060860973e+01 
8.417166410e-01 1.582833539e-01 1.180149011e+01 8.014481871e+01 
8.373304659e-01 1.626695292e-01 1.212282582e+01 7.958891940e+01 
8.322810753e-01 1.677189205e-01 1.247646343e+01 7.893267883e+01 
8.265396395e-01 1.734603572e-01 1.285932487e+01 7.816725306e+01 
8.200744959e-01 1.799255016e-01 1.326850863e+01 7.728340804e+01 
8.128515124e-01 1.871484853e-01 1.370148453e+01 7.627178724e+01 
8.048345849e-01 1.951654128e-01 1.415631317e+01 7.512323040e+01 
7.959862921e-01 2.040137052e-01 1.463188740e+01 7.382914613e+01 
7.862687368e-01 2.137312606e-01 1.512819066e+01 7.238193834e+01 
7.756445937e-01 2.243554048e-01 1.564656318e+01 7.077548215e+01 
7.640783833e-01 2.359216178e-01 1.618996261e+01 6.900563928e+01 
7.515379782e-01 2.484620273e-01 1.676320073e+01 6.707079596e+01 
7.379963246e-01 2.620036738e-01 1.737314583e+01 6.497241103e+01 
7.234334099e-01 2.765665897e-01 1.802878861e+01 6.271547078e+01 
