1 64 64
5.252566486e-02 9.474743363e-01 9.818237287e+01 8.687505893e+00 
4.998698765e-02 9.500130137e-01 9.861088220e+01 8.608279758e+00 
4.809184989e-02 9.519081513e-01 9.894164753e+01 8.560017557e+00 
4.669160471e-02 9.533083961e-01 9.919499027e+01 8.533311285e+00 
4.567480767e-02 9.543251928e-01 9.938556523e+01 8.520526854e+00 
4.495936186e-02 9.550406384e-01 9.952398464e+01 8.515857093e+00 
4.448674150e-02 9.555132587e-01 9.961782008e+01 8.515168429e+00 
4.421786442e-02 9.557821358e-01 9.967218564e+01 8.515758541e+00 
4.413032407e-02 9.558696761e-01 9.969005334e+01 8.516118146e+00 
4.421679591e-02 9.557832041e-01 9.967240322e+01 8.515762396e+00 
4.448451517e-02 9.555154846e-01 9.961826717e+01 8.515170208e+00 
4.495579273e-02 9.550442067e-01 9.952468563e+01 8.515844212e+00 
4.566960194e-02 9.543303972e-01 9.938655832e+01 8.520478770e+00 
4.668433902e-02 9.533156600e-01 9.919633008e+01 8.533197958e+00 
4.808194150e-02 9.519180574e-01 9.894340975e+01 8.559798118e+00 
4.997365342e-02 9.500263453e-01 9.861317132e+01 8.607902079e+00 
5.250786596e-02 9.474921323e-01 9.818533450e+01 8.686907787e+00 
5.588065074e-02 9.441193473e-01 9.763147199e+01 8.807602225e+00 
6.034984368e-02 9.396501550e-01 9.691135839e+01 8.981327121e+00 
6.625379391e-02 9.337462058e-01 9.596789222e+01 9.218650861e+00 
7.403603011e-02 9.259639696e-01 9.472046414e+01 9.527670000e+00 
8.427674383e-02 9.157232543e-01 9.305707786e+01 9.912426613e+00 
9.773031135e-02 9.022696855e-01 9.082658662e+01 1.037264899e+01 
1.153634448e-01 8.846365526e-01 8.783463828e+01 1.090732727e+01 
1.383784027e-01 8.616215948e-01 8.385094072e+01 1.152662125e+01 
1.681873849e-01 8.318126107e-01 7.864098990e+01 1.227846701e+01 
2.062793163e-01 7.937206783e-01 7.203858892e+01 1.329445237e+01 
2.539044454e-01 7.460955513e-01 6.406524727e+01 1.484613629e+01 
