2 64 128
8.096778488e-01 1.903221525e-01 1.354259978e+00 1.993493087e+01 
7.098890517e-01 2.901109491e-01 2.149587788e+00 1.474293088e+01 
5.584641157e-01 4.415358848e-01 5.214455698e+00 8.722302638e+00 
3.902723877e-01 6.097276124e-01 1.127674817e+01 4.693091426e+00 
2.551258400e-01 7.448741598e-01 1.796641254e+01 3.273962936e+00 
1.681069100e-01 8.318930898e-01 2.278610843e+01 2.872523036e+00 
1.175816346e-01 8.824183654e-01 2.544598650e+01 2.500884573e+00 
8.947886390e-02 9.105211363e-01 2.668660698e+01 2.055338818e+00 
7.447735644e-02 9.255226439e-01 2.718324446e+01 1.651885848e+00 
6.727212821e-02 9.327278723e-01 2.734318309e+01 1.379510781e+00 
6.515186192e-02 9.348481387e-01 2.737493769e+01 1.284049408e+00 
6.727606597e-02 9.327239347e-01 2.734311647e+01 1.379680430e+00 
7.448676913e-02 9.255132316e-01 2.718299313e+01 1.652199275e+00 
8.949719315e-02 9.105028076e-01 2.668590591e+01 2.055737494e+00 
1.176152004e-01 8.823848002e-01 2.544435472e+01 2.501266742e+00 
1.681663573e-01 8.318336433e-01 2.278283091e+01 2.872812352e+00 
2.552249873e-01 7.447750134e-01 1.796103931e+01 3.274538541e+00 
3.904142839e-01 6.095857172e-01 1.127050904e+01 4.695366069e+00 
5.586159699e-01 4.413840314e-01 5.210228078e+00 8.727186276e+00 
7.100037893e-01 2.899962117e-01 2.148136851e+00 1.474836422e+01 
8.097434137e-01 1.902565876e-01 1.354019341e+00 1.993862414e+01 
8.603500235e-01 1.396499782e-01 1.255795651e+00 2.287679701e+01 
8.745772013e-01 1.254228006e-01 1.292477418e+00 2.376710943e+01 
8.570332042e-01 1.429667977e-01 1.390265239e+00 2.281225742e+01 
8.001398867e-01 1.998601150e-01 1.571208385e+00 1.957960153e+01 
6.885370987e-01 3.114629030e-01 2.558980204e+00 1.387120607e+01 
5.226578795e-01 4.773421221e-01 6.269052718e+00 7.628525432e+00 
3.479126029e-01 6.520873979e-01 1.311599376e+01 3.990749895e+00 
2.160214981e-01 7.839785023e-01 2.003255051e+01 2.993840369e+00 
1.346667064e-01 8.653332941e-01 2.467490091e+01 2.754903280e+00 
8.801872067e-02 9.119812801e-01 2.717966743e+01 2.460790654e+00 
6.138987834e-02 9.386101227e-01 2.845947850e+01 2.142871189e+00 
4.588029591e-02 9.541197054e-01 2.919811156e+01 1.950929304e+00 
3.673566756e-02 9.632643340e-01 2.976430001e+01 1.968440060e+00 
3.168369857e-02 9.683163032e-01 3.031469010e+01 2.215712008e+00 
2.997714844e-02 9.700228536e-01 3.086807680e+01 2.666705702e+00 
3.190553033e-02 9.680944718e-01 3.134658978e+01 3.260921604e+00 
3.869868224e-02 9.613013200e-01 3.159452997e+01 3.916450914e+00 
5.312083562e-02 9.468791667e-01 3.132987757e+01 4.517127715e+00 
8.174977118e-02 9.182502313e-01 2.990105410e+01 4.806040371e+00 
1.412271050e-01 8.587728980e-01 2.568761320e+01 4.161239504e+00 
2.683471159e-01 7.316528877e-01 1.632829788e+01 2.429124843e+00 
4.996473658e-01 5.003526366e-01 3.809561801e+00 3.788403831e+00 
7.554982457e-01 2.445017535e-01 -2.123078550e+00 1.320681632e+01 
9.075604196e-01 9.243957966e-02 -1.053970740e+00 2.339965449e+01 
9.690326424e-01 3.096735782e-02 5.942412669e-01 2.873619980e+01 
9.900456637e-01 9.954336799e-03 1.324856260e+00 3.072759605e+01 
9.967800664e-01 3.219934053e-03 1.629063571e+00 3.143586753e+01 
9.989158801e-01 1.084120400e-03 1.799380674e+00 3.173433345e+01 
9.996088553e-01 3.911451722e-04 1.907772654e+00 3.188430395e+01 
9.998455140e-01 1.544864192e-04 1.975696732e+00 3.196642756e+01 
9.999327530e-01 6.724736024e-05 2.014545454e+00 3.201051062e+01 
9.999680926e-01 3.190789398e-05 2.032149708e+00 3.203023524e+01 
9.999838153e-01 1.618541400e-05 2.033497287e+00 3.203252617e+01 
9.999913919e-01 8.608999608e-06 2.022676974e+00 3.202216045e+01 
9.999952699e-01 4.731270600e-06 2.003127169e+00 3.200284331e+01 
9.999973599e-01 2.641548705e-06 1.977265206e+00 3.197710673e+01 
9.999984996e-01 1.501991410e-06 1.946638423e+00 3.194654831e+01 
9.999991167e-01 8.850337249e-07 1.913175075e+00 3.191312198e+01 
9.999994572e-01 5.446190228e-07 1.878698060e+00 3.187866539e+01 
9.999996785e-01 3.233530404e-07 1.844193516e+00 3.184417411e+01 
9.999998396e-01 1.621022207e-07 1.809801971e+00 3.180979224e+01 
9.999999584e-01 4.316999664e-08 1.775620681e+00 3.177561809e+01 
1.000000027e+00 -2.506509351e-08 1.741939226e+00 3.174194073e+01 
1.000000050e+00 -4.812128498e-08 1.709190141e+00 3.170919303e+01 
1.000000035e+00 -3.381969130e-08 1.677857608e+00 3.167785964e+01 
1.000000006e+00 -4.923586301e-09 1.648624293e+00 3.164862459e+01 
9.999999739e-01 2.772301116e-08 1.622178541e+00 3.162217688e+01 
9.999999480e-01 5.375819370e-08 1.598938500e+00 3.159893528e+01 
9.999999274e-01 7.451805628e-08 1.579055546e+00 3.157905108e+01 
9.999999158e-01 8.621838512e-08 1.562625572e+00 3.156262041e+01 
9.999999086e-01 9.352122271e-08 1.549736911e+00 3.154973131e+01 
9.999999069e-01 9.522866740e-08 1.540470620e+00 3.154046491e+01 
9.999999053e-01 9.663718930e-08 1.534885101e+00 3.153487931e+01 
1.000000096e+00 -9.468929074e-08 1.554836395e+00 3.155484208e+01 
1.000000095e+00 -9.361244452e-08 1.556759924e+00 3.155676554e+01 
1.000000094e+00 -9.322420553e-08 1.562531219e+00 3.156253682e+01 
1.000000089e+00 -8.862926090e-08 1.572000321e+00 3.157200565e+01 
1.000000081e+00 -8.092917687e-08 1.585027297e+00 3.158503216e+01 
1.000000064e+00 -6.407309990e-08 1.601322139e+00 3.160132600e+01 
1.000000039e+00 -3.955700725e-08 1.620614150e+00 3.162061654e+01 
1.000000003e+00 -2.886598256e-09 1.642481590e+00 3.164248178e+01 
9.999999578e-01 4.189556052e-08 1.666597696e+00 3.166659519e+01 
9.999999046e-01 9.508783707e-08 1.692752939e+00 3.169274724e+01 
9.999998566e-01 1.431168349e-07 1.721070920e+00 3.172106234e+01 
9.999998194e-01 1.802477043e-07 1.751512739e+00 3.175150193e+01 
9.999997944e-01 2.053210254e-07 1.783909470e+00 3.178389715e+01 
9.999997510e-01 2.487219975e-07 1.817827870e+00 3.181781295e+01 
9.999996445e-01 3.552665213e-07 1.852708525e+00 3.185268721e+01 
